Survived,Pclass,Gender,Age,SibSp,Parch,Fare,Embarked,num_family,title
1,2,female,2,1,0,26.0,S,1,Mrs
1,1,male,2,0,0,35.5,S,0,Mr
1,2,female,2,0,0,10.5,S,0,Miss
0,3,male,2,0,0,7.2292,C,0,Mr
1,2,female,0,1,2,27.75,S,3,Miss
0,3,male,2,0,0,7.2292,C,0,Mr
0,3,male,0,3,2,27.9,S,5,Master
0,1,male,2,0,0,27.7208,C,0,Mr
1,3,male,2,1,1,15.2458,C,2,Master
1,2,female,2,0,0,10.5,S,0,Mrs
0,3,male,1,0,0,8.1583,S,0,Mr
1,3,female,1,4,2,7.925,S,6,Miss
0,3,male,2,2,0,8.6625,S,2,Mr
0,2,male,3,0,0,10.5,S,0,Mr
0,3,male,2,1,0,14.4542,C,1,Mr
0,3,male,2,0,0,7.65,S,0,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
1,2,male,0,0,2,29.0,S,2,Master
1,3,female,2,0,0,12.475,S,0,Miss
0,3,male,2,0,0,9.0,S,0,Mr
1,3,male,2,0,0,9.5,S,0,Mr
1,3,female,2,0,0,7.7875,Q,0,Miss
1,2,female,1,0,0,10.5,S,0,Miss
1,3,female,3,3,0,15.85,S,3,Mrs
0,3,male,1,1,3,34.375,S,4,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,1,0,0,7.8542,S,0,Mr
0,3,male,2,1,2,20.575,S,3,Mr
0,3,male,5,0,0,7.25,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,1,male,7,0,0,34.6542,C,0,Mr
1,2,female,3,0,1,23.0,S,1,Mrs
0,2,male,3,1,0,26.0,S,1,Mr
0,3,female,2,0,0,7.8958,S,0,Miss
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,male,3,0,0,8.6542,S,0,Mr
0,3,male,3,2,0,7.925,S,2,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
1,3,female,2,0,0,7.65,S,0,Miss
1,3,male,2,0,0,7.775,S,0,Mr
0,3,male,3,0,0,7.8958,S,0,Mr
1,3,female,2,1,0,24.15,Q,1,Miss
0,3,female,1,1,0,14.4542,C,1,Miss
0,3,male,2,0,0,8.05,S,0,Mr
0,3,female,1,1,0,9.825,S,1,Miss
0,3,female,1,0,0,14.4583,C,0,Miss
0,3,male,2,0,0,7.925,S,0,Mr
0,3,male,7,0,0,7.75,Q,0,Mr
0,2,male,2,1,0,21.0,S,1,Mr
0,3,female,0,4,2,31.275,S,6,Miss
0,3,male,2,0,0,8.05,S,0,Mr
0,2,male,3,1,0,30.0708,C,1,Mr
1,2,female,3,0,0,13.0,S,0,Miss
1,3,male,1,1,0,11.2417,C,1,Master
0,3,male,2,0,0,7.75,Q,0,Mr
1,3,male,2,0,0,7.1417,S,0,Mr
1,3,female,2,1,1,22.3583,C,2,Miss
0,3,male,4,0,0,6.975,S,0,Mr
0,3,male,3,0,0,7.8958,C,0,Mr
0,3,male,1,0,0,7.05,S,0,Mr
0,3,female,4,1,0,14.5,S,1,Mrs
1,2,female,2,1,0,26.0,S,1,Mrs
0,2,male,2,0,0,13.0,S,0,Mr
0,2,male,2,0,0,15.0458,C,0,Mr
1,1,female,1,0,2,26.2833,S,2,Miss
0,3,male,1,0,0,9.2167,S,0,Mr
0,3,female,2,0,2,15.2458,C,2,Mrs
1,3,female,2,0,0,7.75,S,0,Miss
1,3,female,2,1,0,15.85,S,1,Mrs
0,3,male,1,0,0,6.75,Q,0,Mr
0,2,male,1,0,0,11.5,S,0,Mr
0,2,male,1,1,1,36.75,S,2,Mr
1,3,male,2,0,0,7.7958,S,0,Mr
0,3,female,0,2,2,34.375,S,4,Miss
0,2,male,3,0,2,26.0,S,2,Mr
0,2,male,4,0,0,13.0,S,0,others
0,2,male,5,0,0,12.525,S,0,others
0,3,male,5,0,0,8.05,S,0,Mr
0,3,male,4,0,2,14.5,S,2,Mr
0,3,male,2,0,0,7.3125,S,0,Mr
1,3,female,1,0,0,7.7333,Q,0,Miss
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,2,0,0,8.6625,S,0,Mr
0,3,male,4,0,1,16.1,S,1,Mr
1,2,female,3,0,0,15.75,S,0,Mrs
0,3,male,2,0,0,7.775,S,0,Mr
0,3,male,1,0,0,8.6625,S,0,Mr
0,3,male,0,4,1,39.6875,S,5,Master
1,3,male,0,0,2,20.525,S,2,Master
0,3,female,4,1,4,27.9,S,5,Mrs
0,1,male,2,0,0,25.925,S,0,Mr
0,1,male,6,0,0,33.5,S,0,Mr
0,3,male,0,4,1,29.125,Q,5,Master
1,3,female,0,1,1,11.1333,S,2,Miss
0,3,male,2,0,0,7.925,S,0,Mr
0,1,male,5,0,0,30.6958,C,0,Mr
0,3,male,1,1,1,7.8542,S,2,Mr
0,3,male,2,3,1,25.4667,S,4,Master
0,1,female,4,0,0,28.7125,C,0,Miss
0,2,male,2,0,0,13.0,S,0,Mr
0,3,male,3,0,0,0.0,S,0,Mr
0,2,male,2,0,0,15.05,C,0,Mr
0,3,male,0,4,2,31.3875,S,6,Master
1,2,male,0,2,1,39.0,S,3,Master
1,3,female,0,0,2,22.025,S,2,Miss
1,3,female,2,1,0,15.5,Q,1,Mrs
1,1,male,4,0,0,26.55,S,0,Mr
0,3,male,3,1,1,15.5,Q,2,Mr
0,3,male,3,0,0,7.8958,S,0,Mr
1,2,female,3,0,0,13.0,S,0,Mrs
0,2,male,1,0,0,13.0,S,0,Mr
1,3,female,1,1,0,7.8542,S,1,Miss
1,2,male,0,1,1,26.0,S,2,Master
1,1,female,4,0,0,27.7208,C,0,Mrs
0,3,male,2,0,0,7.75,Q,0,Mr
0,3,male,4,0,1,8.4042,S,1,Mr
1,3,female,2,0,0,7.75,Q,0,Miss
0,2,female,2,0,0,13.0,S,0,Miss
0,3,male,2,0,0,9.5,S,0,Mr
0,3,male,3,0,0,6.4958,S,0,Mr
0,3,male,4,0,0,7.225,C,0,Mr
1,3,male,1,0,0,8.05,S,0,Mr
0,3,female,0,0,1,10.4625,S,1,Miss
0,3,male,3,1,0,15.85,S,1,Mr
1,3,male,2,0,0,18.7875,C,0,Mr
1,3,female,1,0,0,7.75,Q,0,Miss
1,1,male,3,0,0,31.0,C,0,Mr
0,3,male,2,0,0,7.05,S,0,Mr
1,2,female,3,0,0,21.0,S,0,Miss
0,3,male,2,0,0,7.25,S,0,Mr
0,2,male,2,0,0,13.0,S,0,Mr
0,3,male,2,1,0,7.75,Q,1,Mr
1,3,female,2,0,0,7.925,S,0,Miss
0,2,male,4,1,0,27.0,S,1,Mr
0,2,male,2,0,0,10.5,S,0,Mr
1,3,male,1,0,0,8.05,S,0,Mr
0,2,male,2,0,0,13.0,S,0,Mr
0,3,male,5,0,0,8.05,S,0,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,male,2,0,0,9.35,S,0,Mr
1,2,male,1,0,0,10.5,S,0,Mr
0,3,male,2,0,0,7.25,S,0,Mr
0,2,male,1,0,0,13.0,S,0,Mr
0,3,female,2,3,1,25.4667,S,4,Miss
0,3,male,2,0,0,7.775,S,0,Mr
0,2,male,5,0,0,13.5,S,0,Mr
1,3,female,0,4,2,31.3875,S,6,Miss
0,2,male,2,0,0,10.5,S,0,Mr
0,3,female,2,0,0,7.55,S,0,Miss
0,2,male,4,1,0,26.0,S,1,Mr
1,2,female,0,0,2,26.25,S,2,Miss
0,2,male,1,0,0,10.5,S,0,Mr
0,2,male,3,0,0,12.275,S,0,Mr
0,3,female,2,1,0,14.4542,C,1,Miss
1,3,female,2,1,0,15.5,Q,1,Miss
0,2,male,2,0,0,10.5,S,0,Mr
0,3,male,2,0,0,7.125,S,0,Mr
0,3,male,2,0,0,7.225,C,0,Mr
0,3,female,2,0,0,7.775,S,0,Miss
1,2,female,2,0,2,14.5,S,2,Mrs
0,2,male,5,1,0,26.0,S,1,others
0,3,male,2,0,0,7.25,S,0,Mr
0,3,female,2,1,1,10.4625,S,2,Mrs
0,1,male,6,0,0,26.55,S,0,Mr
0,3,male,2,1,0,16.1,S,1,Mr
0,3,female,4,0,2,20.2125,S,2,Mrs
1,3,female,2,0,2,15.2458,C,2,Mrs
1,2,female,4,0,1,26.0,S,1,Mrs
0,3,male,2,0,0,7.75,Q,0,Mr
1,3,male,0,4,2,31.3875,S,6,Master
0,1,male,3,0,0,0.0,S,0,Mr
0,3,female,2,0,0,7.75,Q,0,Miss
0,2,male,3,0,0,10.5,S,0,Mr
0,3,male,1,4,1,39.6875,S,5,Mr
1,3,male,2,1,0,7.775,S,1,Mr
0,1,male,2,0,0,31.0,S,0,Mr
1,3,male,2,0,0,0.0,S,0,Mr
1,2,female,4,0,1,19.5,S,1,Mrs
0,1,male,3,0,1,29.7,C,1,Mr
1,3,female,2,0,0,7.75,Q,0,Miss
0,3,female,4,0,0,7.75,S,0,Miss
0,2,male,2,0,0,0.0,S,0,Mr
0,3,male,0,4,1,29.125,Q,5,Master
1,3,female,3,1,1,20.25,S,2,Mrs
0,3,male,6,0,0,7.75,Q,0,Mr
0,3,male,2,0,0,7.8542,S,0,Mr
0,3,male,1,0,0,9.5,S,0,Mr
1,3,male,1,0,0,8.05,S,0,Mr
0,1,male,2,0,0,26.0,S,0,Mr
0,3,male,3,0,0,8.6625,C,0,Mr
1,3,male,2,0,0,9.5,S,0,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
1,2,male,4,0,0,13.0,S,0,Mr
1,3,female,2,0,0,7.75,Q,0,Miss
0,2,male,3,0,0,12.875,C,0,Mr
0,3,female,2,0,0,8.85,S,0,Miss
0,3,male,2,0,0,7.8958,S,0,Mr
0,1,male,2,0,0,27.7208,C,0,Mr
0,3,male,2,0,0,7.2292,C,0,Mr
1,1,male,2,0,0,30.5,S,0,Mr
1,3,female,2,0,0,7.75,Q,0,Miss
1,3,male,2,2,0,23.25,Q,2,Mr
0,3,male,1,0,0,0.0,S,0,Mr
1,2,female,2,0,0,12.35,Q,0,Miss
0,3,male,2,0,0,8.05,S,0,Mr
0,2,male,2,1,0,24.0,C,1,Mr
0,2,female,2,1,1,26.0,S,2,Mrs
0,3,male,2,0,0,7.8958,S,0,Mr
0,2,male,4,1,1,26.25,S,2,Mr
1,3,female,2,0,0,7.8542,S,0,Miss
1,2,female,2,1,0,26.0,S,1,Mrs
0,2,male,5,0,0,14.0,S,0,others
0,3,male,2,0,0,7.25,S,0,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
1,2,female,2,0,0,12.35,Q,0,Miss
1,2,female,2,1,1,29.0,S,2,Mrs
0,3,male,6,0,0,6.2375,S,0,Mr
1,2,female,3,0,0,13.0,S,0,Mrs
1,3,female,3,1,1,20.525,S,2,Mrs
1,3,female,2,2,0,23.25,Q,2,Miss
0,1,male,4,0,0,28.5,S,0,Mr
0,3,male,1,2,0,18.0,S,2,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
1,3,male,4,0,0,8.05,S,0,Mr
0,1,male,4,0,0,35.5,S,0,Mr
1,2,male,0,1,1,26.0,S,2,Master
0,2,male,2,0,0,13.0,S,0,Mr
0,2,male,2,0,0,13.0,S,0,Mr
0,2,male,3,0,0,13.0,S,0,Mr
1,2,female,2,0,0,13.0,S,0,Miss
1,2,female,3,0,0,13.0,S,0,Miss
1,3,female,2,1,0,16.1,S,1,Mrs
1,3,male,0,1,1,15.9,S,2,Master
0,3,male,4,0,0,8.6625,S,0,Mr
0,3,male,2,0,0,9.225,S,0,Mr
0,1,male,2,0,0,35.0,S,0,Mr
0,3,male,1,1,1,7.2292,C,2,Mr
0,3,male,2,1,0,17.8,S,1,Mr
0,3,male,2,0,0,7.225,C,0,Mr
0,3,male,2,0,0,9.5,S,0,Mr
0,2,female,3,0,0,13.0,S,0,Miss
1,3,female,2,0,0,7.8792,Q,0,Miss
1,3,female,2,0,0,7.8792,Q,0,Miss
0,3,male,3,1,4,27.9,S,5,Mr
0,2,male,2,1,0,27.7208,C,1,Mr
0,3,female,4,0,1,14.4542,C,1,Mrs
0,3,male,3,0,0,7.05,S,0,Mr
0,3,male,2,1,0,15.5,Q,1,Mr
0,3,male,2,0,0,7.25,S,0,Mr
1,3,female,2,0,0,7.2292,C,0,Mrs
1,3,female,2,0,0,7.75,Q,0,Miss
0,3,male,1,1,0,6.4958,S,1,Mr
0,3,male,1,0,0,8.05,S,0,Mr
0,3,female,0,3,1,21.075,S,4,Miss
1,3,female,2,0,0,7.25,S,0,Miss
0,3,male,1,0,0,4.0125,C,0,Mr
0,3,male,1,0,0,7.775,S,0,Mr
1,3,female,0,0,2,15.7417,C,2,Miss
0,3,male,3,0,0,7.925,S,0,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
1,2,female,3,0,0,13.0,S,0,Miss
0,3,male,2,0,0,7.7292,Q,0,Mr
1,2,female,1,0,0,12.0,C,0,Miss
1,3,male,2,0,0,7.7958,S,0,Mr
0,3,male,2,2,0,7.925,S,2,Mr
1,3,female,2,0,2,16.7,S,2,Mrs
0,3,male,2,0,0,7.7958,S,0,Mr
0,3,female,3,0,0,7.8542,S,0,Miss
0,2,male,4,0,0,26.0,S,0,Mr
0,2,male,2,0,0,10.5,S,0,others
1,2,female,2,0,0,12.65,S,0,Mrs
1,3,male,3,0,0,7.925,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,female,2,1,0,9.825,S,1,Miss
0,3,male,2,1,0,15.85,S,1,Mr
0,3,female,1,0,0,8.6625,S,0,Miss
0,2,male,3,1,0,21.0,S,1,Mr
0,3,male,5,0,0,7.75,S,0,Mr
1,2,male,0,1,1,18.75,S,2,Master
0,3,male,2,0,0,7.775,S,0,Mr
0,3,female,2,3,1,25.4667,S,4,Miss
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,male,2,0,0,6.8583,Q,0,Mr
0,2,male,2,0,0,0.0,S,0,Mr
1,3,male,4,0,0,7.925,S,0,Mr
0,3,female,2,0,0,8.05,S,0,Mrs
1,2,female,3,1,1,32.5,S,2,Mrs
1,2,female,1,0,2,13.0,S,2,Miss
0,2,male,2,0,0,13.0,S,0,Mr
0,3,female,0,0,2,24.15,S,2,Miss
0,3,male,2,0,0,7.8958,C,0,Mr
0,3,male,2,0,0,7.7333,Q,0,Mr
0,3,male,2,0,0,7.875,S,0,Mr
0,3,female,2,1,1,14.4,S,2,Mrs
0,3,male,1,1,1,20.2125,S,2,Mr
0,3,male,2,0,0,7.25,S,0,Mr
1,2,female,2,1,0,26.0,S,1,Mrs
1,2,female,1,0,0,26.0,S,0,Miss
0,3,male,2,0,0,7.75,Q,0,Mr
1,3,male,3,0,0,8.05,S,0,Mr
1,1,male,2,0,0,26.55,S,0,Mr
1,3,female,2,1,0,16.1,S,1,Mrs
1,2,female,4,1,0,26.0,S,1,Mrs
0,3,male,1,0,0,7.125,S,0,Mr
0,3,female,2,2,2,34.375,S,4,Miss
1,2,female,2,2,3,18.75,S,5,Mrs
0,2,male,3,0,0,10.5,S,0,Mr
1,2,female,4,1,1,26.25,S,2,Mrs
0,3,male,1,0,0,9.5,S,0,Mr
0,3,male,2,1,0,7.775,S,1,Mr
1,2,female,2,0,0,13.0,S,0,others
1,3,male,2,0,0,8.1125,S,0,Mr
1,2,female,1,0,1,19.5,S,1,Miss
1,1,male,3,0,0,26.55,S,0,Mr
1,3,female,0,2,1,19.2583,C,3,Miss
1,1,male,5,0,0,30.5,S,0,others
0,2,male,3,1,2,27.75,S,3,Mr
0,3,male,2,1,0,19.9667,S,1,Mr
0,1,male,2,0,0,27.75,C,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
1,3,male,2,0,0,7.8958,C,0,Mr
0,1,male,6,0,0,26.55,S,0,Mr
1,2,female,4,0,0,10.5,S,0,Miss
0,3,male,2,0,0,7.75,Q,0,Mr
1,1,male,4,0,0,26.55,S,0,Mr
0,3,male,3,0,0,8.05,S,0,Mr
0,1,male,4,0,0,38.5,S,0,Mr
0,2,male,4,0,0,13.0,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,3,0,0,7.05,S,0,Mr
0,2,male,2,0,0,0.0,S,0,Mr
0,1,male,5,0,0,26.55,S,0,Mr
0,3,male,2,0,0,7.725,Q,0,Mr
1,3,female,0,2,1,19.2583,C,3,Miss
0,3,male,2,0,0,7.25,S,0,Mr
0,3,male,3,0,0,8.6625,S,0,Mr
1,2,female,3,1,2,27.75,S,3,Mrs
1,2,female,2,0,0,13.7917,C,0,Mrs
0,3,female,2,0,0,9.8375,S,0,Miss
0,2,male,3,1,0,21.0,S,1,Mr
0,3,male,2,1,0,7.0458,S,1,Mr
0,3,male,2,0,0,7.5208,S,0,Mr
1,3,female,0,0,1,12.2875,S,1,Miss
0,2,male,2,0,0,0.0,S,0,Mr
0,3,male,4,0,0,8.05,S,0,Mr
1,3,female,6,0,0,9.5875,S,0,Mrs
0,3,female,2,3,1,25.4667,S,4,Miss
0,1,male,5,0,0,29.7,C,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
1,3,male,0,1,1,15.9,S,2,Master
0,3,male,2,1,0,19.9667,S,1,Mr
0,3,male,2,0,0,7.25,S,0,Mr
0,1,male,5,0,0,30.5,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,2,0,0,14.4583,C,0,Mr
0,3,male,2,0,0,15.1,S,0,Mr
0,3,male,2,0,0,7.7958,S,0,Mr
0,3,male,1,0,0,8.6625,S,0,Mr
0,3,female,2,0,0,7.75,Q,0,Miss
0,3,female,2,0,0,7.6292,Q,0,Miss
0,3,female,3,0,0,9.5875,S,0,Miss
1,2,female,3,0,2,26.0,S,2,Mrs
1,1,male,2,0,0,26.55,S,0,Mr
0,3,male,2,0,0,22.525,S,0,Mr
1,3,male,2,0,0,7.75,Q,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
1,1,male,3,0,0,26.2875,S,0,Mr
0,3,male,2,0,0,7.4958,S,0,Mr
0,1,male,4,0,0,34.0208,S,0,Mr
1,2,female,3,0,0,10.5,S,0,Mrs
0,3,male,2,0,0,24.15,Q,0,Mr
1,2,female,3,1,0,26.0,S,1,Mrs
0,3,male,3,0,0,7.8958,S,0,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,male,2,0,0,7.225,C,0,Mr
0,3,male,2,0,0,7.2292,C,0,Mr
0,3,male,4,0,0,7.75,Q,0,Mr
1,2,female,4,0,0,10.5,S,0,Miss
0,3,male,3,0,0,7.925,S,0,Mr
0,2,male,2,2,1,11.5,S,3,Mr
1,2,female,0,1,1,26.0,S,2,Miss
0,3,male,2,0,0,7.2292,C,0,Mr
0,3,male,1,1,1,7.2292,C,2,Mr
1,3,female,2,0,2,22.3583,C,2,Mrs
0,3,female,2,0,0,8.6625,S,0,Miss
1,2,female,0,0,2,26.25,S,2,Miss
0,1,male,4,0,0,26.55,S,0,others
0,3,male,2,0,0,14.5,S,0,Mr
0,3,female,0,4,2,31.275,S,6,Miss
0,3,female,1,4,2,31.275,S,6,Miss
1,2,male,3,1,0,26.0,S,1,Mr
0,1,male,6,0,0,26.0,S,0,Mr
1,2,female,1,1,0,26.0,S,1,Mrs
1,2,male,2,0,0,13.8625,C,0,Mr
0,3,male,3,1,1,20.525,S,2,Mr
1,2,male,0,1,1,36.75,S,2,Master
0,2,male,2,0,0,26.0,S,0,Mr
0,3,male,2,0,0,7.8292,Q,0,Mr
1,3,male,2,0,0,7.225,C,0,Mr
1,3,female,2,0,0,7.775,S,0,Miss
0,1,male,6,0,0,26.55,S,0,Mr
1,1,female,4,1,0,39.6,C,1,others
1,3,female,3,1,0,17.4,S,1,Mrs
0,3,male,2,0,0,7.75,Q,0,Mr
0,3,male,3,0,0,7.8958,S,0,Mr
0,2,male,2,0,0,13.5,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,female,2,0,0,8.05,S,0,Miss
0,3,male,2,2,0,24.15,S,2,Mr
0,3,male,1,0,0,7.8958,S,0,Mr
0,3,female,2,0,4,21.075,S,4,Mrs
0,3,male,2,0,0,7.2292,C,0,Mr
1,3,male,3,0,0,7.8542,S,0,Mr
1,2,male,6,0,0,10.5,S,0,Mr
1,1,male,3,0,0,26.3875,S,0,Mr
1,3,female,2,0,0,7.75,Q,0,Miss
0,3,male,1,0,0,8.05,S,0,Mr
0,3,male,1,0,0,14.5,S,0,Mr
1,2,female,3,0,0,13.0,S,0,Miss
0,3,female,2,1,0,14.4583,C,1,Mrs
1,3,male,3,0,0,7.925,S,0,Mr
1,2,female,2,1,1,30.0,S,2,Miss
0,2,male,5,0,0,26.0,S,0,Mr
0,1,male,3,0,0,40.125,C,0,Mr
0,3,male,2,0,0,8.7125,C,0,Mr
0,2,male,4,0,0,15.0,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
0,3,male,3,0,0,7.125,S,0,Mr
0,3,male,4,0,0,7.25,S,0,Mr
0,3,female,2,0,2,7.75,Q,2,Miss
0,2,male,3,1,0,26.0,S,1,Mr
0,3,male,3,1,1,24.15,S,2,Mr
1,2,female,2,0,0,33.0,S,0,Miss
0,3,male,4,0,0,0.0,S,0,Mr
0,3,male,2,0,0,7.225,C,0,Mr
1,2,female,2,2,1,27.0,S,3,Mrs
0,3,male,2,0,0,7.8958,S,0,Mr
0,1,male,2,0,0,42.4,S,0,Mr
0,3,male,4,0,0,8.05,S,0,Mr
1,1,male,3,0,0,26.55,C,0,Mr
0,3,male,3,1,0,15.55,S,1,Mr
0,3,male,2,0,0,7.8958,S,0,Mr
1,1,male,2,0,0,30.5,S,0,Mr
1,2,female,2,1,2,41.5792,C,3,Mrs
0,3,female,3,1,5,31.275,S,6,Mrs
0,3,male,2,0,0,7.05,S,0,Mr
1,3,female,2,1,0,15.5,Q,1,Miss
0,3,male,2,0,0,7.75,Q,0,Mr
0,3,male,3,0,0,8.05,S,0,Mr
0,3,male,3,1,1,14.4,S,2,Mr
0,3,female,2,1,0,16.1,S,1,Mrs
1,2,female,0,2,1,39.0,S,3,Miss
0,2,male,2,0,0,10.5,S,0,Mr
0,3,male,2,1,0,14.4542,C,1,Mr
1,3,male,1,1,1,15.7417,C,2,Mr
0,3,male,2,0,0,7.8542,S,0,Mr
0,3,male,2,0,0,16.1,S,0,Mr
0,1,male,6,0,0,32.3208,S,0,Mr
0,2,male,5,0,0,12.35,Q,0,others
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,male,2,0,0,7.7333,Q,0,Mr
1,1,male,7,0,0,30.0,S,0,Mr
0,3,male,5,0,0,7.0542,S,0,Mr
1,1,male,3,0,0,30.5,C,0,others
0,1,male,2,0,0,0.0,S,0,Mr
0,3,female,0,3,2,27.9,S,5,Miss
1,2,female,2,0,0,13.0,S,0,Miss
0,3,male,3,0,0,7.925,S,0,Mr
0,2,male,3,1,1,26.25,S,2,Mr
0,3,female,4,0,5,39.6875,S,5,Mrs
0,3,male,2,1,0,16.1,S,1,Mr
0,3,male,1,0,0,7.8542,S,0,Mr
0,3,female,0,3,2,27.9,S,5,Miss
1,3,female,0,2,1,19.2583,C,3,Miss
0,3,male,1,0,0,7.8958,S,0,Mr
1,1,male,5,0,0,35.5,C,0,others
0,3,male,2,0,0,7.55,S,0,Mr
1,3,female,2,0,0,7.55,S,0,Miss
0,3,male,2,0,0,7.8958,S,0,Mr
1,2,female,1,0,1,23.0,S,1,Miss
0,3,male,2,0,0,8.4333,S,0,Mr
1,3,female,2,0,0,7.8292,Q,0,Miss
0,3,female,1,0,0,6.75,Q,0,Miss
0,3,male,2,0,0,7.8958,S,0,Mr
0,3,female,3,1,1,15.5,Q,2,Mrs
0,2,male,2,0,0,13.0,S,0,Mr
0,3,male,3,0,0,7.225,C,0,Mr
0,1,male,4,0,0,25.5875,S,0,Mr
0,3,male,3,0,0,7.4958,S,0,Mr
1,3,male,1,1,0,7.925,S,1,Mr
0,2,male,2,0,0,13.0,S,0,Mr
0,3,male,2,0,0,7.775,S,0,Mr
0,3,male,4,0,0,8.05,S,0,Mr
1,2,female,3,1,1,39.0,S,2,Mrs
0,2,male,6,0,0,10.5,S,0,Mr
1,2,male,3,0,0,13.0,S,0,Mr
0,2,male,2,0,0,0.0,S,0,Mr
0,3,male,1,0,0,7.775,S,0,Mr
0,3,male,2,0,0,8.05,S,0,Mr
1,3,female,1,0,0,9.8417,S,0,Miss
0,3,female,2,0,0,8.1375,Q,0,Miss
0,3,male,1,0,0,9.225,S,0,Mr
0,2,male,5,1,1,39.0,S,2,Mr
0,2,male,2,1,2,41.5792,C,3,Mr
0,3,male,1,4,1,39.6875,S,5,Mr
0,3,male,1,0,0,10.1708,S,0,Mr
0,3,male,1,0,0,7.7958,S,0,Mr
1,3,female,0,0,1,13.4167,C,1,Miss
0,3,male,2,0,0,7.225,C,0,Mr
0,1,male,5,0,0,26.55,S,0,others
0,2,male,5,0,0,13.5,S,0,Mr
0,3,male,4,0,0,8.05,S,0,Mr
1,3,female,2,0,0,7.7333,Q,0,Miss
0,3,male,4,0,0,7.65,S,0,Mr
1,1,male,3,0,0,26.2875,S,0,Mr
0,3,female,1,0,1,14.4542,C,1,Miss
0,3,male,2,0,0,7.7417,Q,0,Mr
0,3,male,2,1,0,7.8542,S,1,Mr
0,2,male,3,0,0,26.0,S,0,Mr
1,2,female,4,0,0,13.5,S,0,Mrs
